Farming_Turnover,Crop_Yields,Market_Demand,Land_Ownership,Land_Size,Weather_Data,Government_Subsidy,Expenses,Livestock_Inventory,Education,Debts_Liabilities,Community_Feedback,Creditworthiness
53056,3000,High,Leased,10,Normal,Yes,16698,Cattle,High School,10000,Low,Good
51763,2126,Medium,Owned,12,Variable,No,16132,Cattle,College Degree,0,High,Very Good
40000,2213,High,Owned,10,Variable,Yes,13545,Cattle,College Degree,2000,High,Good
73980,3000,Medium,Owned,12,Variable,No,16950,Cattle,College Degree,0,High,Very Good
51503,1737,Low,Owned,8,Normal,No,15840,Cattle,None,0,High,Very Good
75000,3000,Medium,Leased,5,Variable,No,18607,Chicken,College Degree,2000,Medium,Excellent
40000,1728,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
53131,3000,Medium,Owned,12,Variable,No,20000,Cattle,College Degree,0,High,Very Good
71425,3000,High,Leased,5,Variable,No,18989,Chicken,High School,10000,Medium,Excellent
40000,1882,Medium,Owned,12,Variable,No,14908,Cattle,College Degree,0,High,Very Good
56203,2198,High,Owned,10,Normal,Yes,14902,Cattle,High School,0,Low,Good
55555,1886,Medium,Owned,10,Variable,No,12000,Cattle,College Degree,0,High,Average
50198,2264,Medium,Owned,12,Variable,No,15432,Cattle,College Degree,0,High,Very Good
75000,3000,Medium,Leased,5,Variable,No,19640,Chicken,College Degree,2000,Medium,Excellent
59008,2537,Medium,Owned,7,Normal,Yes,15188,Cattle,College Degree,0,Low,Very Good
58552,2232,High,Owned,10,Normal,No,14756,Cattle,College Degree,10000,High,Excellent
55077,2733,High,Owned,7,Normal,No,18398,Pigs,High School,10000,Low,Poor
58347,2000,Medium,Leased,10,Normal,Yes,15493,Cattle,High School,0,High,Very Good
55879,2272,High,Owned,10,Normal,Yes,13720,Cattle,High School,10000,Low,Good
40094,1945,Medium,Owned,8,Unpredictable,Yes,12217,Sheep,None,500,High,Average
44969,1500,Low,Owned,7,Unpredictable,Yes,12000,Sheep,None,500,High,Average
45339,1770,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
51149,1971,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,0,High,Average
57533,2586,Medium,Owned,7,Normal,Yes,14720,Cattle,College Degree,10000,Low,Good
52396,2600,High,Owned,12,Variable,No,15112,Chicken,College Degree,0,Low,Poor
43685,2224,Low,Leased,5,Normal,Yes,12118,Pigs,None,500,Low,Poor
51950,2269,Medium,Owned,12,Variable,No,14208,Cattle,College Degree,0,Low,Good
57441,2942,Low,Owned,5,Variable,Yes,19095,Chicken,None,500,High,Excellent
46469,2045,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
75000,2878,Medium,Owned,8,Variable,No,16191,Cattle,None,2000,Medium,Very Good
55209,2689,High,Owned,10,Normal,Yes,15135,Cattle,High School,0,Low,Good
59106,2299,High,Owned,10,Unpredictable,Yes,14895,Sheep,High School,2000,Low,Good
40000,1500,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
40000,1863,Medium,Owned,5,Unpredictable,No,12355,Cattle,College Degree,0,High,Very Good
51384,2347,Medium,Owned,10,Variable,No,15673,Cattle,College Degree,0,Low,Very Good
57980,2296,Medium,Leased,5,Variable,No,19746,Cattle,College Degree,0,Low,Very Good
62675,2052,High,Owned,5,Normal,No,15210,Cattle,College Degree,0,Medium,Good
46456,1658,Medium,Owned,10,Unpredictable,Yes,15135,Chicken,College Degree,2000,Medium,Excellent
40000,1983,Low,Owned,8,Unpredictable,Yes,12000,Cattle,None,500,High,Average
75000,3000,Medium,Leased,5,Variable,No,19439,Chicken,College Degree,2000,Medium,Excellent
40000,1717,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,Low,Average
71560,3000,Medium,Owned,5,Variable,No,19571,Cattle,College Degree,0,High,Excellent
50125,1769,Low,Owned,12,Variable,No,15799,Sheep,College Degree,0,High,Very Good
75000,3000,High,Leased,7,Normal,Yes,15883,Chicken,High School,10000,Medium,Poor
75000,3000,Medium,Owned,5,Variable,No,17865,Chicken,College Degree,2000,Medium,Excellent
54527,2648,Medium,Owned,10,Variable,No,14634,Cattle,High School,0,Low,Very Good
51776,2175,High,Leased,7,Normal,Yes,16143,Pigs,High School,0,Low,Good
62053,2191,Medium,Owned,7,Normal,Yes,17637,Cattle,College Degree,0,Low,Very Good
45329,2491,High,Owned,10,Variable,No,14507,Sheep,College Degree,0,High,Good
41261,2487,Medium,Owned,8,Normal,Yes,15465,Pigs,None,500,High,Good
